_id,folder[0],folder[1],alt,filename,mimeType,filesize,width,height,focalX,focalY,sizes.thumbnail.width,sizes.thumbnail.height,sizes.thumbnail.mimeType,sizes.thumbnail.filesize,sizes.thumbnail.filename,createdAt,updatedAt,__v,sizes.thumbnail.url,thumbnailURL,url,prefix
67a1d475d63a0c7ba1d2a280,,,Floating Oasis Mattress Dark Blue,floating-oasis-mattress-dark-blue.webp,image/webp,133388,900,900,50,50,500,500,image/webp,153120,Floating Oasis Mattress (Dark Blue)-500x500.webp,2025-02-04T08:48:53.359Z,2025-02-04T08:48:53.359Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/pool_bean_bag_3.jpg,bonavista/
67a1d475d63a0c7ba1d2a282,,,Floating Oasis Mattress Orange,floating-oasis-mattress-orange.webp,image/webp,12498,220,220,50,50,,,,,,2025-02-04T08:48:53.577Z,2025-02-04T08:48:53.577Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Orange%20PBB.jpg,bonavista/
67a1d475d63a0c7ba1d2a284,,,Floating Oasis Mattress Striped Grey,floating-oasis-mattress-striped-grey.webp,image/webp,9786,220,220,50,50,,,,,,2025-02-04T08:48:53.781Z,2025-02-04T08:48:53.781Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Grey%20PBB.jpg,bonavista/
67a1d476d63a0c7ba1d2a286,,,Floating Sanitizer Dispenser,floating-sanitizer-dispenser.webp,image/webp,35220,2000,2000,50,50,500,500,image/webp,16762,Floating Sanitizer Dispenser-500x500.webp,2025-02-04T08:48:54.183Z,2025-02-04T08:48:54.183Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/e7314ffa-faa4-49b4-bb25-a8a1f43e67db_1.bcd6cd69d377eb93d979cbdb1cd93b63.jpg,bonavista/
67a1d476d63a0c7ba1d2a288,,,Floating Sofa Dark Blue,floating-sofa-dark-blue.webp,image/webp,64330,800,754,50,50,500,471,image/webp,101208,Floating Sofa (Dark Blue)-500x471.webp,2025-02-04T08:48:54.632Z,2025-02-04T08:48:54.632Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Pool%20Bean%20Bag%20Sofa1.png,bonavista/
67a1d476d63a0c7ba1d2a28a,,,Floating Watermelon,floating-watermelon.webp,image/webp,7768,220,220,50,50,,,,,,2025-02-04T08:48:54.830Z,2025-02-04T08:48:54.830Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Watermelon%20PBB.jpg,bonavista/
67a1d477d63a0c7ba1d2a28c,,,Heavy Duty Leaf Skimmer,heavy-duty-leaf-skimmer.webp,image/webp,4208,300,241,50,50,,,,,,2025-02-04T08:48:55.018Z,2025-02-04T08:48:55.018Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/51CgkI0P9rL._AC_SX425_-300x241.jpg,bonavista/
67a1d47ad63a0c7ba1d2a28e,,,Hot Tub Cube 13 Pk,hot-tub-cube-13-pk.webp,image/webp,64086,2560,1704,50,50,500,333,image/webp,20992,Hot Tub Cube 13 PK-500x333.webp,2025-02-04T08:48:58.152Z,2025-02-04T08:48:58.152Z,0,,,https://drive.google.com/uc?export=download&id=1J-QuWLjoJo9QJeW6T1khfBePn6Os6d6X,bonavista/
67a1d47bd63a0c7ba1d2a290,,,Jacks Magic Super Pacs 3,jacks-magic-super-pacs-3.webp,image/webp,123308,1742,1703,50,50,500,489,image/webp,65026,Jacks Magic Super Pacs 3-500x489.webp,2025-02-04T08:48:59.003Z,2025-02-04T08:48:59.003Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/PicturesLg/Jack's%20Magic.png,bonavista/
67a1d47bd63a0c7ba1d2a292,,,Jumbo Thermometer,jumbo-thermometer.webp,image/webp,15180,996,984,50,50,500,494,image/webp,19074,Jumbo Thermometer-500x494.webp,2025-02-04T08:48:59.331Z,2025-02-04T08:48:59.331Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/kokido-jumbo-thermometer.jpg,bonavista/
67a1d47bd63a0c7ba1d2a294,,,Kokido Electric Cleaning Wand,kokido-electric-cleaning-wand.webp,image/webp,3570,749,698,50,50,500,466,image/webp,5520,Kokido Electric Cleaning Wand-500x466.webp,2025-02-04T08:48:59.628Z,2025-02-04T08:48:59.628Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Screen-Shot-2021-02-12-at-12.02.52-PM.png,bonavista/
67a1d47bd63a0c7ba1d2a296,,,Leaf Skimmer,leaf-skimmer.webp,image/webp,3196,225,225,50,50,,,,,,2025-02-04T08:48:59.850Z,2025-02-04T08:48:59.850Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/Pictures/Unknown-1.jpg,bonavista/
67a1d47cd63a0c7ba1d2a298,,,Metal Cleanse 1 L,metal-cleanse-1-l.webp,image/webp,81570,2560,1703,50,50,500,333,image/webp,20180,Metal Cleanse 1 L-500x333.webp,2025-02-04T08:49:00.593Z,2025-02-04T08:49:00.593Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/PicturesLg/DAZ05040-Metal-Cleanse-1L-scaled.jpg,bonavista/
67a1d47dd63a0c7ba1d2a29a,,,Mini Chlorinating Tablets 2,mini-chlorinating-tablets-2.webp,image/webp,83922,2560,1703,50,50,500,333,image/webp,18278,Mini Chlorinating Tablets 2-500x333.webp,2025-02-04T08:49:01.238Z,2025-02-04T08:49:01.238Z,0,,,https://www.bonavistaleisurescapes.com/Files/store/PicturesLg/DAZ08202%20Mini%20Chlorine%20Tablets%202.5%20kg.jpg,bonavista/
